capture_file,pair,size_usd,captured_at_utc,input_amount_atomic,jtx_out_amount,jupiter_out_amount,dflow_dev_out_amount,exact_fee_bps,displayed_fee_tier_bps,exact_fee_matches_displayed_tier,quote_gap_bps_vs_jupiter,jtx_minus_dflow_dev_bps,fee_predicted_gap_bps,residual_gap_bps,sync_gap_seconds_max,sync_class,route_labels,route_leg_count,slippage_bps,jtx_reported_price_impact_pct,normalization_note,validation_status
jtx_capture_sanitized_20260728T121423Z.json,USDC->SOL,1000.0,2026-07-28T12:14:23.049Z,1000000000,13664731420,13667510398,13667607007,2.0,2.0,True,2.0333,-2.1039,2.0,0.0333,0.679,STRONG,DFlow JIT Router,1,50,0,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T133922Z.json,USDC->SOL,1000.0,2026-07-28T13:39:22.152Z,1000000000,13769990533,13773450070,13773303185,2.0,2.0,True,2.5117,-2.4051,2.0,0.5117,0.638,STRONG,DFlow JIT Router,1,50,0.0000330178914821120921584955,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T134742Z.json,USDC->SOL,1000.0,2026-07-28T13:47:42.892Z,1000000000,13817181204,13821749930,13819945041,2.0,2.0,True,3.3055,-1.9999,2.0,1.3055,1.031,STRONG,PancakeSwap|DFlow JIT Router|Raydium CLMM,3,50,0.000068495805129124121666818,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T135519Z.json,USDC->SOL,1000.0,2026-07-28T13:55:19.078Z,1000000000,13771650396,13774452577,13774489528,2.0,2.0,True,2.0343,-2.0612,2.0,0.0343,1.288,STRONG,PancakeSwap|DFlow JIT Router,2,50,0.0002777787048608789999781166,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T140306Z.json,USDC->SOL,1000.0,2026-07-28T14:03:06.745Z,1000000000,13755295482,13757241459,13759275219,2.0,2.0,True,1.4145,-2.8924,2.0,-0.5855,1.308,STRONG,BisonFi|Tessera V,2,50,0.0001436177449049121563492479,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T210445Z.json,USDC->SOL,100.0,2026-07-28T21:04:45.602Z,100000000,1350251932,1350565798,1350533756,2.0,2.0,True,2.324,-2.0868,2.0,0.324,1.285,STRONG,Whirlpools|DFlow JIT Router|AlphaQ,3,50,0.0000782734981178815743380691,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T211112Z.json,USDC->SOL,100.0,2026-07-28T21:11:12.934Z,100000000,1350952007,1351272182,1351245740,2.0,2.0,True,2.3694,-2.1738,2.0,0.3694,1.368,STRONG,DFlow JIT Router,1,50,0.0000453587279798080809171166,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T211715Z.json,USDC->SOL,100.0,2026-07-28T21:17:15.581Z,100000000,1351481460,1351722247,1351736113,2.0,2.0,True,1.7813,-1.8839,2.0,-0.2187,0.787,STRONG,DFlow JIT Router,1,50,0.0004085023474695520090671809,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T212335Z.json,USDC->SOL,10000.0,2026-07-28T21:23:35.253Z,10000000000,135057988204,135086441269,135084062350,0.0,2.0,False,2.1063,-1.9302,2.0,0.1063,0.644,STRONG,BisonFi,1,50,0.0000693288558690318382891655,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T212945Z.json,USDC->SOL,10000.0,2026-07-28T21:29:45.334Z,10000000000,134939098082,134966835376,134963851357,2.0,2.0,True,2.0551,-1.8341,2.0,0.0551,0.494,STRONG,DFlow JIT Router|HumidiFi|Whirlpools,3,50,0.0005118594785957861225693051,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T213643Z.json,USDC->SOL,10000.0,2026-07-28T21:36:43.542Z,10000000000,134778231823,134828322084,134807027301,2.0,2.0,True,3.7151,-2.1361,2.0,1.7151,1.461,STRONG,DFlow JIT Router,1,50,0.0000234664208723390312438293,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
jtx_capture_sanitized_20260728T231746Z.json,USDC->JUP,1000.0,2026-07-28T23:17:46.517Z,1000000000,5266464045,5281134072,5279999575,25.0,25.0,True,27.7782,-25.6355,25.0,2.7782,1.364,STRONG,DFlow JIT Router|Whirlpools|Meteora DLMM,3,50,0.0006862181979581324031336623,wrapped-token mints used throughout (SOL/WETH/USDT/USDC/JUP/XAUt0 wrapped or SPL forms); no native-SOL variant observed,OK
